book_rating,book_title,kindle_price
4.0 out of 5 stars,Tell Me Lies: A Novel,$12.99
3.8 out of 5 stars,The Hike,$0.00
4.5 out of 5 stars,"Run, Rose, Run: A Novel",$15.99
4.5 out of 5 stars,Hunting Adeline (Cat and Mouse Duet Book 2),$0.00
4.0 out of 5 stars,The Kraken's Sacrifice (A Deal With A Demon Book 2),$0.00
4.6 out of 5 stars,The Rose Code: A Novel,$11.99
4.6 out of 5 stars,Frost (Frost and Nectar Book 1),$0.00
4.3 out of 5 stars,Never: A Novel,$8.99
4.3 out of 5 stars,The Alpha's Fated Encounter: An Opposites Attract Shifter Romance (Fated To Royalty Book 1),$0.00
4.4 out of 5 stars,The Perfect Wrong,$0.00
4.2 out of 5 stars,Over Her Dead Body: A Novel,$4.99
4.8 out of 5 stars,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",$14.99
4.8 out of 5 stars,The Return of the Gods,$15.94
4.5 out of 5 stars,Where the Sky Begins: A Novel,$0.00
4.4 out of 5 stars,The Latecomer: A Novel,$14.99
4.9 out of 5 stars,Harry Potter: The Complete Collection (1-7),$62.99
4.8 out of 5 stars,Rhythm of War: Book Four of The Stormlight Archive,$15.99
4.3 out of 5 stars,Does It Hurt?: An Enemies to Lovers Romance,$0.00
4.7 out of 5 stars,True Believer: A Thriller (Terminal List Book 2),$13.99
4.3 out of 5 stars,People We Meet on Vacation,$9.99
4.5 out of 5 stars,The Four Winds: A Novel,$14.99
4.3 out of 5 stars,The Love of My Life: A Novel,$14.99
4.7 out of 5 stars,Covet (Crave Book 3),$0.00
4.5 out of 5 stars,By a Thread: A Grumpy Boss Romantic Comedy,$0.00
4.5 out of 5 stars,The Magnificent Lives of Marjorie Post: A Novel,$13.99
4.5 out of 5 stars,The Invisible Life of Addie LaRue,$14.99
4.6 out of 5 stars,Blood Cull: A Novel of the Demon Accords,$0.00
4.6 out of 5 stars,Confess: A Novel,$10.99
4.7 out of 5 stars,"A Game of Thrones (A Song of Ice and Fire, Book 1)",$8.99
4.4 out of 5 stars,Black Cake: A Novel,$13.99
4.5 out of 5 stars,Babel: Or the Necessity of Violence: An Arcane History of the Oxford Translators' Revolution,$14.99
4.5 out of 5 stars,The Investigator,$14.99
4.7 out of 5 stars,The End of the World is Just the Beginning: Mapping the Collapse of Globalization,$16.99
4.5 out of 5 stars,The Final Gambit (The Inheritance Games Book 3),$10.99
4.6 out of 5 stars,Implode: An Epic Fantasy LitRPG Adventure (The Completionist Chronicles Book 8),$0.00
4.7 out of 5 stars,West with Giraffes: A Novel,$0.00
4.5 out of 5 stars,A Little Too Wild (Madigan Mountain),$4.99
4.4 out of 5 stars,Beautiful Graves,$0.00
4.4 out of 5 stars,The Inmate: A gripping psychological thriller,$0.00
4.2 out of 5 stars,Twisted Love: A Brother's Best Friend Romance,$0.00
4.4 out of 5 stars,"Hook, Line, and Sinker: A Novel",$10.99
4.1 out of 5 stars,Daisy Darker: A Novel,$14.99
4.5 out of 5 stars,Next in Line: From the #1 bestselling author (William Warwick Novels),$14.99
4.7 out of 5 stars,Sky World (Undying Mercenaries Book 18),$0.00
4.6 out of 5 stars,All Your Perfects: A Novel,$10.99
4.6 out of 5 stars,The Casanova (The Miles High Club Book 3),$0.00
4.6 out of 5 stars,The Diamond Eye: A Novel,$14.99
4.4 out of 5 stars,Daisy Jones & The Six: A Novel,$11.99
4.3 out of 5 stars,The French Kiss,$0.00
4.7 out of 5 stars,Montana Storm (Resting Warrior Ranch Book 5),$0.00
4.3 out of 5 stars,Fractured Freedom: A Brother's Best Friend Second Chance Romance,$0.00
4.2 out of 5 stars,Apples Never Fall,$12.99
3.9 out of 5 stars,The House Across the Lake: A Novel,$14.99
4.2 out of 5 stars,The Fire and the Ore: A Novel,$0.00
4.2 out of 5 stars,The Guest List: A Novel,$11.99
4.6 out of 5 stars,A Soul to Keep: Duskwalker Brides: Book One,$0.00
4.6 out of 5 stars,A Gentleman in Moscow: A Novel,$9.99
4.8 out of 5 stars,The Nightingale: A Novel,$11.99
4.5 out of 5 stars,"Revenge: Meghan, Harry, and the War Between the Windsors",$14.99
4.2 out of 5 stars,Provoke: A Grumpy Boss Romance,$0.00
4.3 out of 5 stars,Royally Not Ready,$0.00
4.8 out of 5 stars,The Fellowship Of The Ring: Being the First Part of The Lord of the Rings,$11.99
4.6 out of 5 stars,The Deal Dilemma,$0.00
4.5 out of 5 stars,The Secrets You Keep: A Dark MFM Romance,$0.00
4.6 out of 5 stars,The Love Hypothesis,$5.99
4.3 out of 5 stars,The Last Mrs. Parrish: A Novel,$11.99
4.8 out of 5 stars,Swamp Spirits (Miss Fortune Mysteries Book 23),$5.99
4.4 out of 5 stars,Less Is Lost (The Arthur Less Books Book 2),$14.99
4.3 out of 5 stars,Den of Vipers,$0.00
4.8 out of 5 stars,"The Way of Kings (The Stormlight Archive, Book 1)",$9.99
4.7 out of 5 stars,The Christmas Spirit: A Novel,$11.99
4.3 out of 5 stars,The Nurse's Secret: A Thrilling Historical Novel of the Dark Side of Gilded Age New York City,$8.21
4.2 out of 5 stars,The Stroke of Winter: A Novel,$4.99
4.5 out of 5 stars,Bittersweet Memories (Off-Limits),$0.00
4.4 out of 5 stars,"Secret Daddy: An Age Gap, Secret Baby Romance (Silver Fox Daddies)",$0.00
4.5 out of 5 stars,The Challenge: A Novel,$14.99
4.6 out of 5 stars,The Man Who Died Twice: A Thursday Murder Club Mystery,$11.99
4.1 out of 5 stars,The Ninth Month,$11.99
4.3 out of 5 stars,Sea of Tranquility: A novel,$11.99
4.5 out of 5 stars,22 Seconds (A Women's Murder Club Thriller),$14.99
4.7 out of 5 stars,The Takeover (The Miles High Club Book 2),$0.00
4.4 out of 5 stars,Beach Read,$11.99
4.6 out of 5 stars,Local Girl Missing: A totally unputdownable crime thriller and mystery novel (Detective Josie Quinn Book 15),$4.99
4.3 out of 5 stars,Lessons: A novel,$14.99
