cursor timestamp xpos ypos event xpath attrs extras
0 1493138021521 0 0 load / {} {}
0 1493138054935 14 97 mouseover //*[@id='topabar'] {} {"topRight":1230,"topLeft":776,"bottomRight":1298,"bottomLeft":880,"middle":1025,"inTarget":false}
0 1493138055085 249 120 mousemove //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":995,"topLeft":541,"bottomRight":1069,"bottomLeft":668,"middle":791,"inTarget":false}
0 1493138055235 303 165 mousemove //*[@id='rso']/div[1]/div[1]/div/div/div/span {} {"topRight":943,"topLeft":491,"bottomRight":1003,"bottomLeft":597,"middle":728,"inTarget":false}
0 1493138055387 292 152 mousemove //*[@id='rso']/div[1]/div[1]/div/div/div {} {"topRight":953,"topLeft":500,"bottomRight":1017,"bottomLeft":614,"middle":742,"inTarget":false}
0 1493138055539 293 139 mousemove //*[@id='rso']/div[1]/div[1]/div/div/div/div[1]/cite {} {"topRight":952,"topLeft":498,"bottomRight":1021,"bottomLeft":621,"middle":744,"inTarget":false}
0 1493138055747 307 122 mousemove //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":937,"topLeft":483,"bottomRight":1015,"bottomLeft":620,"middle":734,"inTarget":false}
0 1493138055815 0 0 focus / {} {}
0 1493138055816 307 122 mousedown //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":937,"topLeft":483,"bottomRight":1015,"bottomLeft":620,"middle":734,"inTarget":false}
0 1493138055922 307 122 mouseup //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":937,"topLeft":483,"bottomRight":1015,"bottomLeft":620,"middle":734,"inTarget":false}
0 1493138055923 0 0 beforeunload / {} {}
0 1493138055925 307 122 click //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":937,"topLeft":483,"bottomRight":1015,"bottomLeft":620,"middle":734,"inTarget":false}
0 1493138056081 289 93 mousemove //*[@id='resultStats'] {} {"topRight":955,"topLeft":501,"bottomRight":1042,"bottomLeft":652,"middle":759,"inTarget":false}
0 1493138056231 287 84 mousemove //*[@id='resultStats'] {} {"topRight":957,"topLeft":503,"bottomRight":1048,"bottomLeft":660,"middle":764,"inTarget":false}
0 1493138056373 0 0 unload / {} {}
